1,874,2123,10/14/2023 14:30
2,329,3988,5/20/2023 16:30
3,344,3852,10/13/2023 18:30
4,74,173,8/3/2023 11:00
5,841,3527,8/22/2023 16:30
6,921,995,6/26/2023 17:00
7,617,3148,12/19/2023 21:30
8,717,3759,10/13/2023 21:30
9,779,3476,8/25/2023 11:30
10,699,89,9/28/2023 14:30
11,433,2944,5/6/2023 15:00
12,401,1834,10/23/2023 19:00
13,67,1986,7/18/2023 12:30
14,899,649,12/28/2023 17:00
15,884,1037,7/2/2023 10:00
16,467,3500,11/3/2023 18:30
17,12,3911,12/19/2023 14:00
18,42,911,8/19/2023 10:30
19,534,3723,12/26/2023 21:30
20,811,2860,5/10/2023 10:00
21,914,3104,7/13/2023 18:00
22,598,4000,10/8/2023 21:00
23,144,3921,10/21/2023 12:30
24,51,3966,8/9/2023 21:30
25,225,2017,7/10/2023 14:30
26,577,3683,12/29/2023 11:30
27,378,1477,9/23/2023 14:00
28,629,2285,9/22/2023 18:30
29,278,3698,9/10/2023 16:30
30,168,3037,11/3/2023 21:00
31,672,3095,5/5/2023 14:30
32,488,3877,9/10/2023 20:30
33,381,703,6/17/2023 10:30
34,298,3392,9/3/2023 17:30
35,460,3754,11/22/2023 14:30
36,960,3062,11/23/2023 18:00
37,112,1696,9/3/2023 18:30
38,36,1359,9/10/2023 20:30
39,131,1650,11/14/2023 21:00
40,390,3181,5/24/2023 20:30
41,925,1680,7/12/2023 21:00
42,830,3496,6/2/2023 11:00
43,257,3670,9/14/2023 16:00
44,302,2651,5/16/2023 11:00
45,398,747,12/11/2023 15:30
46,975,2640,7/17/2023 19:00
47,60,1860,10/6/2023 17:00
48,677,3852,5/19/2023 13:30
49,675,3501,10/5/2023 11:30
50,722,2685,6/15/2023 11:30
51,704,595,10/4/2023 15:00
52,386,3995,10/2/2023 16:30
53,980,2966,11/10/2023 15:30
54,779,3424,11/2/2023 11:30
55,367,3894,12/7/2023 12:30
56,690,3565,6/4/2023 10:30
57,387,2719,10/5/2023 17:00
58,667,2633,12/12/2023 21:30
59,151,3101,12/12/2023 17:30
60,860,1462,8/18/2023 18:30
61,389,2705,11/3/2023 20:00
62,157,1521,7/3/2023 12:00
63,235,1807,5/24/2023 20:00
64,767,203,8/11/2023 16:30
65,805,3862,6/9/2023 11:00
66,689,1190,5/9/2023 11:00
67,808,3949,10/13/2023 16:30
68,28,3977,11/6/2023 20:30
69,879,3275,7/26/2023 21:00
70,139,1770,11/24/2023 19:30
71,269,2482,5/15/2023 18:30
72,235,2167,6/20/2023 14:00
73,824,3998,8/10/2023 16:00
74,1,3966,8/27/2023 13:30
75,310,3098,6/29/2023 19:00
76,487,3549,12/13/2023 19:00
77,561,3592,8/25/2023 14:00
78,869,2233,10/28/2023 14:00
79,189,2379,12/19/2023 13:00
80,201,3834,10/8/2023 12:00
81,745,3122,10/2/2023 14:00
82,355,987,9/19/2023 18:30
83,836,2901,8/1/2023 17:00
84,818,2363,5/17/2023 11:30
85,695,3953,12/6/2023 18:30
86,644,3272,7/11/2023 18:00
87,765,2561,7/4/2023 14:30
88,811,3941,8/1/2023 17:30
89,633,1723,12/9/2023 17:30
90,795,3529,10/7/2023 18:00
91,483,2570,9/14/2023 20:30
92,92,3204,7/6/2023 12:30
93,967,3556,8/8/2023 17:00
94,631,3589,7/21/2023 12:30
95,331,1126,5/2/2023 12:00
96,431,3811,7/21/2023 10:00
97,896,1748,9/23/2023 20:00
98,264,3224,8/25/2023 10:00
99,675,3164,12/2/2023 10:00
100,663,3689,5/1/2023 13:00
101,666,3709,6/10/2023 11:00
102,292,2765,7/14/2023 18:30
103,390,3739,6/2/2023 17:00
104,887,2462,9/10/2023 20:00
105,925,3740,9/18/2023 10:00
106,198,3059,11/20/2023 14:30
107,6,3170,6/27/2023 11:00
108,825,3768,12/29/2023 16:00
109,264,3385,10/17/2023 12:30
110,715,3653,9/4/2023 13:00
111,983,709,8/11/2023 11:00
112,937,3669,10/21/2023 15:00
113,635,2353,5/6/2023 21:00
114,68,164,8/8/2023 18:30
115,695,3071,9/16/2023 20:00
116,225,3459,7/10/2023 17:00
117,536,3509,8/7/2023 18:00
118,257,2205,7/11/2023 17:30
119,104,2238,5/16/2023 20:30
