1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
13,1,23,40
14,1,10,70
15,1,16,30
16,1,25,45
17,1,2,25
18,1,9,65
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
13,1,23,40
14,1,10,70
15,1,16,30
16,1,25,45
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
13,1,23,40
14,1,10,70
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
12,1,15,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
1,1,1,50
2,1,21,40
3,1,5,25
4,1,12,20
5,1,14,65
6,1,4,30
7,1,6,50
8,1,20,65
9,1,18,35
10,1,11,70
11,1,3,45
